company_name,URL1,URL2,URL3
GD (General Devices),https://general-devices.com/,https://fr.linkedin.com/company/general-devices?trk=public_profile_experience-item_profile-section-card_image-click,https://www.linkedin.com/company/general-devices
GDIT (General Dynamics Information Technology),https://www.gdit.com/,http://www.gdit.com/,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT3JzqBodfn3k1Z5m0s045TQvXQNW50KCtasbsdMtBy6scqGsop
"GDRFA-Dubai (General Directorate of Residency and Foreigners Affairs, Dubai)",https://gdrfad.gov.ae/en,http://gdrfad.gov.ae/en/fines-inquiry-service,http://gdrfad.gov.ae/en/services/372ff58d-b68c-11ed-5210-4cd98f768936
GE (General Electric),https://www.ge.com/,http://www.ge.com/,https://en.wikipedia.org/wiki/File:General_Electric_logo.svg
GE Digital,https://www.ge.com/digital/,http://www.ge.com/digital,https://en.wikipedia.org/wiki/GE_Digital
GE HealthCare,https://www.gehealthcare.com/,https://www.gehealthcare.com/about/contact-us,https://www.gehealthcare.com/about/about-ge-healthcare-systems
GE Renewable Energy,https://www.ge.com/renewableenergy/home,https://www.ge.com/renewableenergy/about-us,https://www.ge.com/renewableenergy/wind-energy
Geely Auto,https://global.geely.com/,https://www.geely.com/en/brand,https://global.geely.com/en/news/2023/geely-renault-sign-joint-venture-agreement-launch-powertrain-technology-company
GEKA Telecom,https://gekatelecom.wixsite.com/french,https://fr.linkedin.com/company/geka-telecom,https://fr.kompass.com/c/geka-telecom/fr8119889/
Gemtek Technology,https://www.gemteks.com/en,https://www.gemteks.com/jp,https://vn.linkedin.com/company/gemtek-technology-co.-ltd?trk=public_profile_experience-group-header
